dt,ret,pos,pos_lag,turnover,cost,pnl_gross,pnl_net
2000-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,-0.012443738416732852,0.0,0.0,0.0,0.0,-0.0,-0.0
2000-01-05,0.00536193029490617,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-06,-0.0031999999999999806,0.0,0.0,0.0,0.0,-0.0,-0.0
2000-01-07,0.0037453183520599342,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-10,-0.009061833688699394,0.0,0.0,0.0,0.0,-0.0,-0.0
2000-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-12,0.012372243141473893,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-14,0.0031880977683316214,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-17,0.004766949152542388,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-18,0.0036900369003689537,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-19,0.015756302521008347,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-20,-0.0056876938986556436,0.0,0.0,0.0,0.0,-0.0,-0.0
2000-01-21,-0.0026001040041602197,0.0,0.0,0.0,0.0,-0.0,-0.0
2000-01-24,-0.013816475495307623,0.0,0.0,0.0,0.0,-0.0,-0.0
2000-01-25,-0.005022468939994695,0.0,0.0,0.0,0.0,-0.0,-0.0
2000-01-26,-0.014877789585547307,0.0,0.0,0.0,0.0,-0.0,-0.0
2000-01-27,0.005393743257820827,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-28,-0.0032188841201716833,0.0,0.0,0.0,0.0,-0.0,-0.0
2000-01-31,0.005382131324004336,0.0,0.0,0.0,0.0,0.0,0.0
2000-02-01,-0.0064239828693790635,0.0,0.0,0.0,0.0,-0.0,-0.0
2000-02-02,-0.015625,0.0,0.0,0.0,0.0,-0.0,-0.0
2000-02-03,-0.005473453749315849,0.0,0.0,0.0,0.0,-0.0,-0.0
2000-02-04,0.0011007154650521933,0.0,0.0,0.0,0.0,0.0,0.0
2000-02-07,0.0021990104452995762,0.0,0.0,0.0,0.0,0.0,0.0
2000-02-08,-0.005485463521667566,0.0,0.0,0.0,0.0,-0.0,-0.0
2000-02-09,0.0011031439602868787,0.0,0.0,0.0,0.0,0.0,0.0
2000-02-10,0.034710743801652955,0.0,0.0,0.0,0.0,0.0,0.0
2000-02-11,-0.0037273695420659836,0.0,0.0,0.0,0.0,-0.0,-0.0
2000-02-14,-0.0048102618920363716,0.0,0.0,0.0,0.0,-0.0,-0.0
2000-02-15,-0.009398496240601517,0.0,0.0,0.0,0.0,-0.0,-0.0
2000-02-16,-0.00623475196530221,0.0,0.0,0.0,0.0,-0.0,-0.0
2000-02-17,0.00654664484451728,0.0,0.0,0.0,0.0,0.0,0.0
2000-02-18,-0.0005420054200542257,0.0,0.0,0.0,0.0,-0.0,-0.0
2000-02-21,-0.012472885032537961,0.0,0.0,0.0,0.0,-0.0,-0.0
2000-02-22,0.006589785831960571,0.0,0.0,0.0,0.0,0.0,0.0
2000-02-23,0.012547735951991212,0.0,0.0,0.0,0.0,0.0,0.0
2000-02-24,0.006465517241379226,0.0,0.0,0.0,0.0,0.0,0.0
2000-02-25,-0.0224839400428265,0.0,0.0,0.0,0.0,-0.0,-0.0
2000-02-28,-0.04435925520262873,0.0,0.0,0.0,0.0,-0.0,-0.0
2000-02-29,-0.006876790830945612,0.0,0.0,0.0,0.0,-0.0,-0.0
2000-03-01,0.023081361800346256,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-02,-0.011844331641285955,0.0,0.0,0.0,0.0,-0.0,-0.0
2000-03-03,0.005136986301369939,0.0,0.0,0.0,0.0,0.0,0.0
